sector,project_name,original_cost_cr,revised_cost_cr,anticipated_cost_cr,expenditure_cum_cr,cost_overrun_pct,overrun_flag,overrun_ratio
RAILWAYS,ANAND VIHAR-TILAK BRIDGE 3RD AND 4TH LINE - [N22000281,295.68,,419.0,133.78,41.71,1,0.4170725108225108
RAILWAYS,"NANGALDAM-TALWARA(NL),NR - [220100188",450.0,,2017.96,1190.75,348.44,1,3.4843555555555557
RAILWAYS,"UDHAMPUR-SRINAGAR-BARAMULLA (NL),NR - [220100133",2500.0,,41931.0,39605.0,1577.24,1,15.7724
RAILWAYS,CHANDIGARH-BADDI - [N22000467,328.14,,1540.14,482.67,369.35,1,3.693545437922838
RAILWAYS,BARABANKI AKBARPUR DOUBLING - [N22000578,1200.0,,1700.0,,41.67,1,0.4166666666666667
RAILWAYS,JAUNPUR AKBARPUR (TANDA) DOUBLING - [N22000582,515.5,,676.0,,31.13,1,0.3113482056256062
RAILWAYS,JANGHAI PRATAPGARH AMETHI DOUBLING - [N22000583,701.98,,1100.0,,56.7,1,0.566996210718254
RAILWAYS,LUDHIANA MULLANPUR DOUBLING - [N22000589,82.99,234.77,235.0,,183.17,1,1.8316664658392579
RAILWAYS,NEW WORK FOR CONSTRUCTION OF METRO RAILWAY FROM JOKA TO BINOY BADAL DINESH BAGH. - [N22000111,2913.51,,4834.54,3869.56,65.94,1,0.6593524648962933
RAILWAYS,BHANUPALI-BILASPUR BERI NL - [N22000273,2966.99,,6753.42,5190.99,127.62,1,1.2761856292067046
RAILWAYS,HOSPET-HUBLI-LONDA-VASCODAGAMA DL - [N22000297,2127.0,,3692.6,3481.82,73.61,1,0.7360601786553831
RAILWAYS,NEW WORK FOR CONSTRUCTION OF METRO RAILWAY FROM NSCB AIRPORT TO NEW GARIA VIA RAJARHAT (MTP) - [N22000110,3951.98,,8964.35,6817.2,126.83,1,1.2683186655802916
RAILWAYS,NEW WORK FOR CONSTRUCTION OF METRO RAILWAY FROM BARANAGAR TO BARRACKPORE AND DAKSHINESHWAR (MTP) - [N22000109,2298.42,,2733.86,392.84,18.95,1,0.18945188433793653
RAILWAYS,VIJAYAWADA-GUDUR - [N22000369,3246.26,,6238.67,5614.6,92.18,1,0.921802320208486
RAILWAYS,VARANASI-MODHOSINGH-ALLAHABAD DOUBLING - [N22000401,943.6,,2018.23,1779.61,113.89,1,1.1388618058499365
RAILWAYS,RISHIKESH - KARNAPRAYAG NEW LINE - [N22000406,16216.0,,24659.0,18267.0,52.07,1,0.5206586087814504
RAILWAYS,VIZIANAGARAM -SAMABALPUR 3RD LINE 01/1991 - [N22000409,2335.67,,4803.16,4620.71,105.64,1,1.0564377673215821
RAILWAYS,MATHURA-JHANSI-3RD LINE (273.80 KM) - [N22000501,3677.76,,5190.26,4969.16,41.13,1,0.41125576437831723
RAILWAYS,2,4.0,,5.0,6.0,9.0,1,0.25
